                                     | Core 0    
  Instructions                       |     274923
  Cycles                             |     351652
  IPC                                |       0.78
  Time (ns)                          |     132200
  Idle time (ns)                     |        -76
  Idle time (%)                      |      -0.1%
Branch predictor stats               |           
  num correct                        |      46691
  num incorrect                      |        672
  misprediction rate                 |      1.42%
  mpki                               |       2.44
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      24742
    num misses                       |         47
    miss rate                        |      0.19%
    mpki                             |       0.17
  D-TLB                              |           
    num accesses                     |     103027
    num misses                       |         36
    miss rate                        |      0.03%
    mpki                             |       0.13
  L2 TLB                             |           
    num accesses                     |         83
    num misses                       |         83
    miss rate                        |    100.00%
    mpki                             |       0.30
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      24742
    num cache misses                 |        614
    miss rate                        |      2.48%
    mpki                             |       2.23
  Cache L1-D                         |           
    num cache accesses               |     103027
    num cache misses                 |       1137
    miss rate                        |      1.10%
    mpki                             |       4.14
  Cache L2                           |           
    num cache accesses               |       1787
    num cache misses                 |       1720
    miss rate                        |     96.25%
    mpki                             |       6.26
  Cache L3                           |           
    num cache accesses               |       1756
    num cache misses                 |       1720
    miss rate                        |     97.95%
    mpki                             |       6.26
DRAM summary                         |           
  num dram accesses                  |       1720
  average dram access latency (ns)   |      56.52
  average dram queueing delay        |       3.09
  average dram bandwidth utilization |     10.97%
Coherency Traffic                    |           
  num loads from dram                |        916
  num loads from dram cache          |          0
  num loads from remote cache        |          0
