                                     | Core 0    
  Instructions                       |      41073
  Cycles                             |     256088
  IPC                                |       0.16
  Time (ns)                          |      96274
  Idle time (ns)                     |      80719
  Idle time (%)                      |      83.8%
Branch predictor stats               |           
  num correct                        |       8221
  num incorrect                      |          4
  misprediction rate                 |      0.05%
  mpki                               |       0.10
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |          3
    num misses                       |          1
    miss rate                        |     33.33%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |          1
    num misses                       |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |          1
    num misses                       |          1
    miss rate                        |    100.00%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |          3
    num cache misses                 |          3
    miss rate                        |    100.00%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |          1
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L2                           |           
    num cache accesses               |          3
    num cache misses                 |          3
    miss rate                        |    100.00%
    mpki                             |       0.07
  Cache L3                           |           
    num cache accesses               |          3
    num cache misses                 |          3
    miss rate                        |    100.00%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |          3
  average dram access latency (ns)   |      53.43
  average dram queueing delay        |       0.00
  average dram bandwidth utilization |      0.03%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
